ORCID,last_phd,total_pub,to_China,age,work1_avg,conn,is_Chinese,work_diff
0000-0001-5010-3145,1,1,1,1,0,0,1,0.071428571
0000-0001-5054-571X,0,67,1,11,0.760869565,1,1,-0.149758454
0000-0001-5072-4734,0,3,1,6,0.026315789,3,1,0.001461988
0000-0001-5098-726X,0,38,1,7,1.057142857,3,1,0.276190476
0000-0001-5111-4647,0,0,1,0,0,0,0,0
0000-0001-5114-4897,0,2,1,2,0.069767442,0,1,0.06230803
0000-0001-5142-1735,0,0,1,0,0,0,0,0.0125
0000-0001-5152-5075,0,0,1,0,0,3,1,0.138461538
0000-0001-5162-1665,0,1,1,1,0.230769231,2,1,-0.138461538
0000-0001-5182-7241,0,4,1,9,0,0,1,0.188679245
0000-0001-5183-9867,1,0,1,0,0,0,0,0.033333333
0000-0001-5189-4698,1,7,1,5,0.208333333,0,0,-0.208333333
0000-0001-5198-1281,0,10,1,5,0.083333333,0,1,0.147435897
0000-0001-5202-7887,0,4,1,6,0.04,0,1,-0.013333333
0000-0001-5231-6283,0,5,1,4,0.137931034,0,0,0.039846743
0000-0001-5275-9383,0,8,1,7,0.051282051,0,1,0.002772003
0000-0001-5322-9237,1,2,1,4,0.041666667,0,0,-0.041666667
0000-0001-5360-237X,1,13,1,4,0.296296296,0,0,-0.222222222
0000-0001-5360-3399,0,19,1,13,0.171428571,0,0,-0.004761905
0000-0001-5396-6587,0,3,1,2,0,0,1,0.023809524
0000-0001-5508-895X,0,0,1,0,0,3,1,0
0000-0001-5509-4989,0,0,1,0,0,3,1,0
0000-0001-5510-8842,0,7,1,10,0.171428571,0,0,-0.06031746
0000-0001-5527-3768,0,3,1,2,0,2,1,0.138297872
0000-0001-5530-2637,0,1,1,1,0.095238095,2,1,-0.058201058
0000-0001-5538-0002,1,0,1,0,0,0,1,0
0000-0001-5550-8758,0,9,1,6,0.083333333,1,1,0.147435897
0000-0001-5558-2915,0,2,1,3,0,0,0,0.033333333
0000-0001-5575-625X,1,3,1,4,0.028985507,0,0,0.031620553
0000-0001-5676-4702,0,45,1,6,0.307692308,1,1,-0.307692308
0000-0001-5677-840X,0,12,1,4,0.191176471,0,1,0.033313325
0000-0001-5702-4511,0,23,1,10,0.09375,0,1,0.293346774
0000-0001-5704-5291,1,6,1,6,0.117647059,0,1,-0.117647059
0000-0001-5705-3611,1,10,1,7,0.169491525,0,0,0.110508475
0000-0001-5706-9525,0,4,1,2,0.061728395,0,0,0.160493827
0000-0001-5736-0056,0,18,1,10,0.024390244,0,0,-0.024390244
0000-0001-5755-044X,0,1,1,2,0.043478261,0,0,0.004140787
0000-0001-5776-056X,0,0,1,0,0,3,1,0.00990099
0000-0001-5779-7135,1,0,1,0,0,0,1,0.047619048
0000-0001-5862-2986,0,13,1,8,0.081081081,1,1,0.168918919
0000-0001-5879-3291,0,0,1,0,0,3,1,0.016949153
0000-0001-5888-1494,0,25,1,8,0.307692308,1,1,-0.164835165
0000-0001-5902-3037,0,13,1,10,0.052631579,3,1,0.147368421
0000-0001-5940-207X,0,6,1,8,0.016949153,1,1,0.06148222
0000-0001-5941-8792,0,4,1,2,0,3,1,0.224489796
0000-0001-5948-4327,0,21,1,7,0.206896552,1,1,0.008789723
0000-0001-5965-6520,0,32,1,10,0.180327869,1,1,0.230386417
0000-0001-5988-1293,0,21,1,10,0.12345679,3,1,0.162257496
0000-0001-5988-7767,0,0,1,1,0,0,1,0.065217391
0000-0001-6016-286X,0,14,1,7,0.12962963,3,1,0.060846561
0000-0001-6032-0207,1,8,1,5,0,0,0,0.03030303
0000-0001-6061-1979,0,0,1,0,0,3,1,0
0000-0001-6075-7089,0,27,1,8,0.140625,1,1,0.806041667
0000-0001-6102-969X,0,9,1,6,0,2,1,0
0000-0001-6106-7901,0,6,1,10,0.108695652,0,0,-0.033223954
0000-0001-6108-1404,0,19,1,12,0.068965517,3,1,0.064367816
0000-0001-6132-1236,0,36,1,8,0.444444444,3,1,0.251207729
0000-0001-6145-0660,1,0,1,0,0,0,0,0.016949153
0000-0001-6162-2856,0,3,1,5,0.088888889,3,1,-0.069281046
0000-0001-6177-5641,0,0,1,0,0,0,0,0
0000-0001-6178-2067,0,25,1,11,0.21875,1,1,-0.15625
0000-0001-6189-814X,1,3,1,1,0.125,0,0,0.116935484
0000-0001-6193-7508,0,20,1,11,0.238095238,0,0,0
0000-0001-6195-114X,1,0,1,0,0,0,0,0.043478261
0000-0001-6197-8326,0,0,1,1,0.041666667,0,1,0.003787879
0000-0001-6218-611X,0,0,1,0,0,1,1,0.047619048
0000-0001-6232-0382,0,9,1,5,0.166666667,3,1,0.03125
0000-0001-6237-169X,0,3,1,3,0,0,1,0.189873418
0000-0001-6258-2729,0,1,1,2,0.064516129,1,0,0.078341014
0000-0001-6269-4691,0,17,1,8,0.166666667,1,1,-0.104166667
0000-0001-6272-5187,0,0,1,0,0,0,0,0.028571429
0000-0001-6276-1831,1,0,1,1,0,0,0,0.181818182
0000-0001-6289-1265,0,4,1,5,0,1,1,0.37
0000-0001-6298-2036,0,11,1,7,0.071428571,0,1,-0.071428571
0000-0001-6318-2583,0,8,1,7,0.113636364,3,1,0.195187166
0000-0001-6327-3602,0,33,1,13,0,0,1,0
0000-0001-6335-498X,0,14,1,5,0,3,1,0.072916667
0000-0001-6337-5326,1,1,1,1,0.028571429,0,0,0.082539683
0000-0001-6338-3318,0,0,1,0,0,0,1,0.041666667
0000-0001-6342-0879,0,12,1,4,0.47826087,0,1,0.17173913
0000-0001-6374-2165,0,0,1,0,0,3,1,0.389830508
0000-0001-6387-0757,0,20,1,6,0.142857143,1,1,-0.051948052
0000-0001-6387-4854,0,23,1,9,0.235955056,0,1,-0.145045965
0000-0001-6396-6273,0,23,1,6,0.394736842,1,1,0.185263158
0000-0001-6403-2595,0,4,1,4,0.044117647,0,1,-0.019117647
0000-0001-6408-9575,0,12,1,6,0.083333333,1,1,-0.083333333
0000-0001-6413-775X,1,6,1,7,0.085714286,0,1,-0.037327189
0000-0001-6426-6340,0,5,1,8,0.208333333,1,1,0.125
0000-0001-6444-221X,0,18,1,8,0,3,1,0.206896552
0000-0001-6468-2483,1,0,1,0,0,0,0,0.291666667
0000-0001-6471-7658,0,1,1,1,0,1,1,0.416666667
0000-0001-6477-6500,0,0,1,0,0,0,1,0.0625
0000-0001-6488-3699,0,2,1,6,0.020833333,1,1,-0.020833333
0000-0001-6500-8052,0,6,1,4,0,0,1,0.034090909
0000-0001-6522-6762,0,5,1,7,0,0,1,0.066666667
0000-0001-6551-7017,0,7,1,7,0.12,0,0,0.077183099
0000-0001-6576-9564,1,3,1,5,0.037037037,0,1,-0.037037037
0000-0001-6625-719X,0,16,1,10,0.233333333,1,1,-0.156410256
0000-0001-6634-842X,0,45,1,10,0.529411765,1,1,-0.235294118
0000-0001-6638-8026,0,35,1,8,0.208333333,2,1,-0.208333333
0000-0001-6649-2384,0,12,1,5,0.274193548,0,0,0.007857734
0000-0001-6660-4892,0,0,1,1,0,2,1,0.064935065
0000-0001-6673-6983,1,1,1,1,0.020833333,0,1,-0.020833333
0000-0001-6681-593X,0,19,1,7,0.314285714,0,1,0.010714286
0000-0001-6708-5422,1,2,1,2,0.056603774,0,1,-0.056603774
0000-0001-6730-2116,0,2,1,2,0,0,1,0.088235294
0000-0001-6732-2002,0,0,1,0,0,1,1,0.03960396
0000-0001-6735-1612,0,3,1,3,0,0,0,0.12345679
0000-0001-6763-9149,1,2,1,4,0.068181818,0,1,-0.009358289
0000-0001-6765-6627,0,0,1,0,0,1,1,0.041666667
0000-0001-6772-2196,0,1,1,1,0.016949153,0,0,0.059973924
